Zone,Station,2018 - Fatal,2018 - Killed,2018 - Non-Fatal,2018 - Injured,2018 - Total Cases,2019 - Fatal,2019 - Killed,2019 - Non-Fatal,2019 - Injured,2019 - Total Cases,2020 - Fatal (As of 30/11/20),2020 - Killed (As of 30/11/20),2020 - Non-Fatal (As of 30/11/20),2020 - Injured (As of 30/11/20),2020 - Total Cases (As of 30/11/20)
East,Cubbon Park,2,2,52,53,54,5,5,46,56,51,2,2,22,24,24
East,H.Grounds,2,2,58,51,60,5,5,48,54,53,6,6,30,29,36
East,S.S.Nagar,8,8,78,74,86,6,6,52,54,58,8,8,48,57,56
East,U.Gate,4,4,43,40,47,2,2,51,49,53,4,5,23,22,27
East,Ashokanagar,4,4,51,55,55,6,6,58,55,64,5,7,32,33,37
East,W.Garden,6,6,46,44,52,11,11,63,60,74,3,3,30,26,33
East,Ulsoor,12,12,69,67,81,14,15,88,84,102,12,12,35,38,47
East,Indiranagar,11,11,63,60,74,14,14,94,92,108,9,9,37,42,46
East,K.R.Pura,42,43,241,221,283,49,50,220,230,269,43,45,131,124,174
East,F.Town,5,5,16,13,21,10,10,20,17,30,7,7,9,8,16
East,Banasawadi,21,21,108,133,129,19,19,110,106,129,14,15,70,63,84
East,Shivajinagar,2,2,23,23,25,7,7,27,22,34,1,1,12,8,13
East,K G Halli,4,4,19,24,23,7,7,22,21,29,3,3,15,19,18
East,Adugodi,3,3,47,53,50,6,6,56,55,62,1,1,25,29,26
East,Madivala,18,18,64,69,82,17,18,67,65,84,8,8,31,33,39
East,Electronic City,27,29,133,115,160,32,33,138,122,170,27,27,112,103,139
East,Mico layout,6,6,58,58,64,12,12,72,73,84,9,9,46,37,55
East,Airport,24,26,85,77,109,16,16,68,59,84,17,17,43,38,60
East,White Field,24,24,150,164,174,48,48,144,167,192,20,21,86,95,106
East,HuliMavu,30,33,106,118,136,15,15,108,104,123,15,15,57,69,72
East,HSR Layout,17,17,83,98,100,25,25,81,109,106,12,13,58,82,70
West,Upparpet,6,6,40,41,46,10,10,37,37,47,1,1,15,15,16
West,Chickpet,10,10,44,48,54,12,12,58,62,70,5,5,27,26,32
West,City Market,2,2,18,17,20,3,3,17,16,20,3,3,5,5,8
West,Magadi Road,1,1,34,31,35,6,6,41,49,47,3,3,18,16,21
West,Vijayanagar,7,7,124,110,131,9,9,113,111,122,6,6,79,73,85
West,B.Pura,17,18,100,104,117,18,18,108,101,126,18,19,78,61,96
West,Kamakshipalya,22,22,187,202,209,25,27,194,207,219,22,24,123,140,145
West,Kengeri,24,25,137,198,161,26,27,145,178,171,18,20,56,71,74
West,Malleswaram,5,5,96,85,101,7,7,83,111,90,7,7,34,31,41
West,Rajajinagar,14,14,57,66,71,10,10,45,51,55,11,11,29,37,40
West,Y.Pura,20,20,131,130,151,17,19,115,113,132,16,16,81,80,97
West,Peenya,23,23,204,213,227,33,34,183,185,216,14,14,102,105,116
West,Jalahalli,21,21,153,158,174,21,22,86,104,107,18,19,48,55,66
West,Chamarajapet,4,4,38,38,42,7,7,34,37,41,6,6,21,23,27
West,Basavanagudi,3,3,67,60,70,6,6,54,56,60,5,5,44,40,49
West,Jayanagar,9,9,72,71,81,16,16,61,63,77,15,15,35,41,50
West,Banashankari,8,8,92,83,100,7,7,96,98,103,11,11,49,49,60
West,K.Swamy Lyt.,33,35,157,141,190,26,28,166,168,192,33,35,106,113,139
North,RT Nagar,7,8,87,81,94,11,12,63,56,74,9,10,42,36,51
North,Hebbala,32,33,106,113,138,32,33,109,118,141,26,26,72,80,98
North,Yelahanka,46,48,175,189,221,44,44,216,287,260,36,41,134,152,170
North,Chikjala,38,39,114,151,152,41,44,154,191,195,25,25,129,146,154
North,Devanahalli,39,45,122,189,161,33,37,127,197,160,22,24,83,127,105
